SOA,SOA Code,All usual residents: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years,Married: Aged 16+ years,In a registered same-sex civil partnership: Aged 16+ years,Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years,Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years,Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years,Single (never married or never registered a same-sex civil partnership): Aged 16+ years (%),Married: Aged 16+ years (%),In a registered same-sex civil partnership: Aged 16+ years (%),Separated (but still legally married or still legally in a same-sex civil partnership): Aged 16+ years (%),Divorced or formerly in a same-sex civil partnership which is now legally dissolved: Aged 16+ years (%),Widowed or surviving partner from a same-sex civil partnership: Aged 16+ years (%)
Shantallow West 1,95MM25S1,925,470,264,0,89,56,46,50.81,28.54,0,9.62,6.05,4.97
Shantallow West 2,95MM25S2,990,498,294,0,96,62,40,50.3,29.7,0,9.7,6.26,4.04
Shantallow West 3,95MM25S3,1043,540,313,0,92,74,24,51.77,30.01,0,8.82,7.09,2.3
Shantallow West 4,95MM25S4,1447,602,627,0,80,85,53,41.6,43.33,0,5.53,5.87,3.66
Springtown 1,95MM26S1,1341,599,489,4,101,94,54,44.67,36.47,0.3,7.53,7.01,4.03
Springtown 2,95MM26S2,1162,437,608,2,38,30,47,37.61,52.32,0.17,3.27,2.58,4.04
Strand 1 (Derry LGD),95MM27S1,1777,1090,309,0,132,142,104,61.34,17.39,0,7.43,7.99,5.85
Strand 2 (Derry LGD),95MM27S2,1678,1086,377,2,69,66,78,64.72,22.47,0.12,4.11,3.93,4.65
The Diamond,95MM28W1,1977,998,492,5,151,168,163,50.48,24.89,0.25,7.64,8.5,8.24
Victoria (Derry LGD),95MM29W1,2654,1280,838,5,169,210,152,48.23,31.57,0.19,6.37,7.91,5.73
Westland,95MM30W1,1719,825,503,4,141,101,145,47.99,29.26,0.23,8.2,5.88,8.44
Ardglass 1,95NN01S1,1197,462,507,1,50,81,96,38.6,42.36,0.08,4.18,6.77,8.02
Ardglass 2,95NN01S2,1308,469,659,2,51,59,68,35.86,50.38,0.15,3.9,4.51,5.2
Audley's Acre,95NN02W1,1784,600,913,0,68,76,127,33.63,51.18,0,3.81,4.26,7.12
Ballymaglave 1,95NN03S1,1064,339,514,0,31,81,99,31.86,48.31,0,2.91,7.61,9.3
Ballymaglave 2,95NN03S2,1246,398,641,0,38,70,99,31.94,51.44,0,3.05,5.62,7.95
Ballymote,95NN04W1,2184,1063,691,2,130,153,145,48.67,31.64,0.09,5.95,7.01,6.64
Ballynahinch East,95NN05W1,1959,722,859,0,62,177,139,36.86,43.85,0,3.16,9.04,7.1
Castlewellan 1,95NN06S1,870,356,363,0,34,44,73,40.92,41.72,0,3.91,5.06,8.39
Castlewellan 2,95NN06S2,1783,645,905,2,59,69,103,36.17,50.76,0.11,3.31,3.87,5.78
Cathedral 1,95NN07S1,1254,503,558,2,69,80,42,40.11,44.5,0.16,5.5,6.38,3.35
Cathedral 2,95NN07S2,1244,538,453,0,60,78,115,43.25,36.41,0,4.82,6.27,9.24
Crossgar 1,95NN08S1,1237,418,661,2,38,54,64,33.79,53.44,0.16,3.07,4.37,5.17
Crossgar 2,95NN08S2,1375,454,741,3,54,48,75,33.02,53.89,0.22,3.93,3.49,5.45
Derryboy 1,95NN09S1,1321,397,792,0,34,40,58,30.05,59.95,0,2.57,3.03,4.39
Derryboy 2,95NN09S2,1083,330,580,2,28,52,91,30.47,53.55,0.18,2.59,4.8,8.4
Donard 1,95NN10S1,1294,402,605,2,49,74,162,31.07,46.75,0.15,3.79,5.72,12.52
Donard 2,95NN10S2,1280,408,700,3,48,67,54,31.87,54.69,0.23,3.75,5.23,4.22
Drumaness 1,95NN11S1,1377,517,675,0,53,64,68,37.55,49.02,0,3.85,4.65,4.94
Drumaness 2,95NN11S2,1574,526,895,0,40,40,73,33.42,56.86,0,2.54,2.54,4.64
Dundrum,95NN12W1,2204,771,1093,1,87,124,128,34.98,49.59,0.05,3.95,5.63,5.81
Dunmore,95NN13W1,2390,647,1443,0,49,85,166,27.07,60.38,0,2.05,3.56,6.95
Killough 1,95NN14S1,1370,510,649,2,77,56,76,37.23,47.37,0.15,5.62,4.09,5.55
Killough 2,95NN14S2,1342,559,626,1,47,61,48,41.65,46.65,0.07,3.5,4.55,3.58
Killyleagh,95NN15W1,2381,860,1039,10,104,183,185,36.12,43.64,0.42,4.37,7.69,7.77
Kilmore 1,95NN16S1,1260,307,762,2,31,46,112,24.37,60.48,0.16,2.46,3.65,8.89
Kilmore 2,95NN16S2,1339,425,758,1,31,53,71,31.74,56.61,0.07,2.32,3.96,5.3
Murlough,95NN17W1,1782,684,782,0,82,108,126,38.38,43.88,0,4.6,6.06,7.07
Quoile 1,95NN18S1,994,416,371,0,58,56,93,41.85,37.32,0,5.84,5.63,9.36
Quoile 2,95NN18S2,1187,395,642,0,45,32,73,33.28,54.09,0,3.79,2.7,6.15
Saintfield 1,95NN19S1,1345,432,685,0,46,81,101,32.12,50.93,0,3.42,6.02,7.51
Saintfield 2,95NN19S2,1378,396,819,0,46,47,70,28.74,59.43,0,3.34,3.41,5.08
Seaforde,95NN20W1,2367,767,1304,1,58,93,144,32.4,55.09,0.04,2.45,3.93,6.08
Shimna,95NN21W1,2181,717,1039,6,71,136,212,32.87,47.64,0.28,3.26,6.24,9.72
Strangford,95NN22W1,2145,721,1128,2,66,88,140,33.61,52.59,0.09,3.08,4.1,6.53
Tollymore 1,95NN23S1,1192,447,623,2,33,34,53,37.5,52.27,0.17,2.77,2.85,4.45
Tollymore 2,95NN23S2,1455,507,765,1,30,71,81,34.85,52.58,0.07,2.06,4.88,5.57
Altmore,95OO01W1,1936,685,1035,0,46,33,137,35.38,53.46,0,2.38,1.7,7.08
Augher,95OO02W1,1731,650,918,0,25,34,104,37.55,53.03,0,1.44,1.96,6.01
Aughnacloy,95OO03W1,2028,684,1089,0,56,64,135,33.73,53.7,0,2.76,3.16,6.66
Ballygawley,95OO04W1,1905,662,997,0,55,63,128,34.75,52.34,0,2.89,3.31,6.72
Ballysaggart,95OO05W1,2100,916,786,4,106,136,152,43.62,37.43,0.19,5.05,6.48,7.24
Benburb,95OO06W1,2190,760,1196,0,59,73,102,34.7,54.61,0,2.69,3.33,4.66
Caledon,95OO07W1,1950,694,1053,0,36,58,109,35.59,54,0,1.85,2.97,5.59
Castlecaulfield,95OO08W1,2111,726,1169,0,36,55,125,34.39,55.38,0,1.71,2.61,5.92
Clogher,95OO09W1,1739,659,867,1,44,50,118,37.9,49.86,0.06,2.53,2.88,6.79
Coalisland North,95OO10W1,2649,1010,1259,0,135,87,158,38.13,47.53,0,5.1,3.28,5.96
Coalisland South,95OO11W1,1889,776,755,0,111,126,121,41.08,39.97,0,5.88,6.67,6.41
Coalisland West and Newmills,95OO12W1,2081,729,1033,0,89,115,115,35.03,49.64,0,4.28,5.53,5.53
Coolhill,95OO13W1,2137,784,1022,3,65,148,115,36.69,47.82,0.14,3.04,6.93,5.38
Donaghmore,95OO14W1,1961,661,1078,0,47,67,108,33.71,54.97,0,2.4,3.42,5.51
Drumglass,95OO15W1,1774,750,713,1,77,108,125,42.28,40.19,0.06,4.34,6.09,7.05
Fivemiletown,95OO16W1,1695,582,832,0,71,79,131,34.34,49.09,0,4.19,4.66,7.73
Killyman,95OO17W1,2105,636,1230,1,52,66,120,30.21,58.43,0.05,2.47,3.14,5.7
Killymeal,95OO18W1,2291,881,1060,3,89,127,131,38.45,46.27,0.13,3.88,5.54,5.72
Moy,95OO19W1,2239,760,1194,1,53,81,150,33.94,53.33,0.04,2.37,3.62,6.7
Moygashel,95OO20W1,1708,509,899,1,55,94,150,29.8,52.63,0.06,3.22,5.5,8.78
Mullaghmore,95OO21W1,1870,769,797,0,62,100,142,41.12,42.62,0,3.32,5.35,7.59
Washing Bay,95OO22W1,2378,929,1177,0,74,62,136,39.07,49.5,0,3.11,2.61,5.72
Ballinamallard,95PP01W1,1998,627,1101,0,54,71,145,31.38,55.11,0,2.7,3.55,7.26
Belcoo and Garrison,95PP02W1,2029,702,1068,0,58,58,143,34.6,52.64,0,2.86,2.86,7.05
Belleek and Boa,95PP03W1,2026,732,1008,0,61,74,151,36.13,49.75,0,3.01,3.65,7.45
Boho Cleenish and Letterbreen,95PP04W1,2460,853,1317,1,60,76,153,34.67,53.54,0.04,2.44,3.09,6.22
Brookeborough,95PP05W1,1865,635,1013,1,26,49,141,34.05,54.32,0.05,1.39,2.63,7.56
Castlecoole 1,95PP06S1,1500,615,602,1,71,128,83,41,40.13,0.07,4.73,8.53,5.53
Castlecoole 2,95PP06S2,1559,500,766,0,60,85,148,32.07,49.13,0,3.85,5.45,9.49
Derrygonnelly,95PP07W1,2205,747,1158,0,66,78,156,33.88,52.52,0,2.99,3.54,7.07
Derrylin,95PP08W1,2108,765,1113,1,50,44,135,36.29,52.8,0.05,2.37,2.09,6.4
Devenish,95PP09W1,1437,662,424,0,64,95,192,46.07,29.51,0,4.45,6.61,13.36
Donagh,95PP10W1,1884,648,1039,1,38,47,111,34.39,55.15,0.05,2.02,2.49,5.89
Erne,95PP11W1,2072,830,873,2,83,122,162,40.06,42.13,0.1,4.01,5.89,7.82
Florence Court and Kinawley,95PP12W1,2046,711,1106,5,50,43,131,34.75,54.06,0.24,2.44,2.1,6.4
Irvinestown,95PP13W1,1980,724,912,0,76,109,159,36.57,46.06,0,3.84,5.51,8.03
Kesh Ederney and Lack 1,95PP14S1,1177,394,598,1,36,57,91,33.47,50.81,0.08,3.06,4.84,7.73
Kesh Ederney and Lack 2,95PP14S2,1673,550,893,0,52,63,115,32.88,53.38,0,3.11,3.77,6.87
Lisbellaw,95PP15W1,2385,759,1336,1,65,88,136,31.82,56.02,0.04,2.73,3.69,5.7
Lisnarrick,95PP16W1,1555,457,897,0,44,46,111,29.39,57.68,0,2.83,2.96,7.14
Lisnaskea,95PP17W1,2071,791,867,2,107,101,203,38.19,41.86,0.1,5.17,4.88,9.8
Maguiresbridge,95PP18W1,2452,836,1317,4,70,77,148,34.09,53.71,0.16,2.85,3.14,6.04
Newtownbutler,95PP19W1,1927,713,951,2,83,67,111,37,49.35,0.1,4.31,3.48,5.76
Portora,95PP20W1,2529,1013,1061,1,101,179,174,40.06,41.95,0.04,3.99,7.08,6.88
Rosslea,95PP21W1,1722,656,849,0,65,45,107,38.1,49.3,0,3.77,2.61,6.21
Rossorry,95PP22W1,1977,668,959,1,77,125,147,33.79,48.51,0.05,3.89,6.32,7.44
Tempo,95PP23W1,2027,667,1103,2,51,73,131,32.91,54.42,0.1,2.52,3.6,6.46
Antiville,95QQ01W1,1227,465,483,0,70,101,108,37.9,39.36,0,5.7,8.23,8.8
Ballycarry,95QQ02W1,2044,592,1165,6,67,116,98,28.96,57,0.29,3.28,5.68,4.79
Ballyloran,95QQ03W1,870,346,314,0,40,85,85,39.77,36.09,0,4.6,9.77,9.77
Blackcave,95QQ04W1,1302,459,578,2,73,103,87,35.25,44.39,0.15,5.61,7.91,6.68
Carncastle,95QQ05W1,2345,555,1470,4,57,114,145,23.67,62.69,0.17,2.43,4.86,6.18
Carnlough,95QQ06W1,1603,592,744,0,80,57,130,36.93,46.41,0,4.99,3.56,8.11
Central (Larne LGD),95QQ07W1,1594,563,607,5,75,169,175,35.32,38.08,0.31,4.71,10.6,10.98
Craigy Hill,95QQ08W1,1238,451,474,3,64,105,141,36.43,38.29,0.24,5.17,8.48,11.39
Gardenmore,95QQ09W1,1669,485,828,0,49,95,212,29.06,49.61,0,2.94,5.69,12.7
Glenarm,95QQ10W1,1449,450,821,0,38,56,84,31.06,56.66,0,2.62,3.86,5.8
Glynn,95QQ11W1,1621,458,941,1,44,77,100,28.25,58.05,0.06,2.71,4.75,6.17
Harbour,95QQ12W1,1524,553,648,0,65,98,160,36.29,42.52,0,4.27,6.43,10.5
Island Magee,95QQ13W1,2093,604,1166,0,71,125,127,28.86,55.71,0,3.39,5.97,6.07
Kilwaughter 1,95QQ14S1,2646,936,1403,0,124,125,58,35.37,53.02,0,4.69,4.72,2.19
Kilwaughter 2,95QQ14S2,1435,409,820,1,49,63,93,28.5,57.14,0.07,3.41,4.39,6.48
Town Parks,95QQ15W1,1339,478,575,2,59,100,125,35.7,42.94,0.15,4.41,7.47,9.34
Aghanloo 1,95RR01S1,1762,581,984,2,53,92,50,32.97,55.85,0.11,3.01,5.22,2.84
Aghanloo 2,95RR01S2,1438,449,810,2,41,66,70,31.22,56.33,0.14,2.85,4.59,4.87
Ballykelly,95RR02W1,1420,507,701,2,51,76,83,35.7,49.37,0.14,3.59,5.35,5.85
Coolessan,95RR03W1,1154,510,387,1,62,112,82,44.19,33.54,0.09,5.37,9.71,7.11
Dungiven,95RR04W1,1597,640,734,0,78,61,84,40.08,45.96,0,4.88,3.82,5.26
Enagh 1 (Limavady LGD),95RR05S1,1021,301,574,1,27,57,61,29.48,56.22,0.1,2.64,5.58,5.97
Enagh 2 (Limavady LGD),95RR05S2,921,389,321,6,46,92,67,42.24,34.85,0.65,4.99,9.99,7.27
Feeny,95RR06W1,1697,654,884,0,53,31,75,38.54,52.09,0,3.12,1.83,4.42
Forest,95RR07W1,1923,604,1101,0,53,72,93,31.41,57.25,0,2.76,3.74,4.84
Glack,95RR08W1,1648,554,912,0,45,44,93,33.62,55.34,0,2.73,2.67,5.64
Gresteel 1,95RR09S1,1661,664,761,0,76,64,96,39.98,45.82,0,4.58,3.85,5.78
Gresteel 2,95RR09S2,1135,587,424,0,43,59,22,51.72,37.36,0,3.79,5.2,1.94
Greystone (Limavady LGD),95RR10W1,1055,424,406,1,53,84,87,40.19,38.48,0.09,5.02,7.96,8.25
Magilligan,95RR11W1,2037,735,898,4,84,149,167,36.08,44.08,0.2,4.12,7.31,8.2
Rathbrady,95RR12W1,1257,368,704,0,32,63,90,29.28,56.01,0,2.55,5.01,7.16
Roeside,95RR13W1,1242,451,514,0,46,96,135,36.31,41.38,0,3.7,7.73,10.87
The Highlands,95RR14W1,1510,542,822,0,48,31,67,35.89,54.44,0,3.18,2.05,4.44
Upper Glenshane,95RR15W1,1815,673,932,1,50,62,97,37.08,51.35,0.06,2.75,3.42,5.34
Ballinderry 1,95SS01S1,1933,667,1013,2,47,115,89,34.51,52.41,0.1,2.43,5.95,4.6
Ballinderry 2,95SS01S2,2140,603,1272,2,55,117,91,28.18,59.44,0.09,2.57,5.47,4.25
Ballymacash 1,95SS02S1,1725,490,982,0,52,76,125,28.41,56.93,0,3.01,4.41,7.25
Ballymacash 2,95SS02S2,1618,437,1019,0,27,47,88,27.01,62.98,0,1.67,2.9,5.44
Ballymacbrennan 1,95SS03S1,1266,287,878,0,20,29,52,22.67,69.35,0,1.58,2.29,4.11
Ballymacbrennan 2,95SS03S2,1477,377,956,1,23,45,75,25.52,64.73,0.07,1.56,3.05,5.08
Ballymacoss 1,95SS04S1,1684,566,817,0,92,128,81,33.61,48.52,0,5.46,7.6,4.81
Ballymacoss 2,95SS04S2,1505,585,685,2,60,110,63,38.87,45.51,0.13,3.99,7.31,4.19
Ballymacoss 3,95SS04S3,2565,913,1329,8,95,133,87,35.59,51.81,0.31,3.7,5.19,3.39
Blaris 1,95SS05S1,1337,481,579,5,44,106,122,35.98,43.31,0.37,3.29,7.93,9.12
Blaris 2,95SS05S2,1493,376,948,4,26,70,69,25.18,63.5,0.27,1.74,4.69,4.62
Collin Glen 1,95SS06S1,1106,574,323,0,100,62,47,51.9,29.2,0,9.04,5.61,4.25
Collin Glen 2,95SS06S2,1518,846,349,0,170,117,36,55.73,22.99,0,11.2,7.71,2.37
Collin Glen 3,95SS06S3,1397,746,358,3,136,93,61,53.4,25.63,0.21,9.74,6.66,4.37
Derryaghy 1,95SS07S1,2367,1066,965,1,198,98,39,45.04,40.77,0.04,8.37,4.14,1.65
Derryaghy 2,95SS07S2,1156,457,568,0,76,39,16,39.53,49.13,0,6.57,3.37,1.38
Derryaghy 3,95SS07S3,3169,1157,1338,4,171,230,269,36.51,42.22,0.13,5.4,7.26,8.49
Dromara 1,95SS08S1,1546,381,988,0,26,64,87,24.64,63.91,0,1.68,4.14,5.63
Dromara 2,95SS08S2,2114,563,1270,3,59,97,122,26.63,60.08,0.14,2.79,4.59,5.77
Drumbo 1,95SS09S1,1388,384,818,0,32,69,85,27.67,58.93,0,2.31,4.97,6.12
Drumbo 2,95SS09S2,1344,343,828,0,28,63,82,25.52,61.61,0,2.08,4.69,6.1
Dunmurry 1,95SS10S1,1743,704,745,5,95,94,100,40.39,42.74,0.29,5.45,5.39,5.74
Dunmurry 2,95SS10S2,1745,658,932,0,50,34,71,37.71,53.41,0,2.87,1.95,4.07
Glenavy 1,95SS11S1,2093,708,1132,2,75,78,98,33.83,54.09,0.1,3.58,3.73,4.68
Glenavy 2,95SS11S2,2119,650,1249,2,58,65,95,30.67,58.94,0.09,2.74,3.07,4.48
Harmony Hill,95SS12W1,2515,703,1408,6,78,117,203,27.95,55.98,0.24,3.1,4.65,8.07
Hilden 1,95SS13S1,1257,516,480,2,72,97,90,41.05,38.19,0.16,5.73,7.72,7.16
Hilden 2,95SS13S2,1126,407,468,0,54,102,95,36.15,41.56,0,4.8,9.06,8.44
Hillhall 1,95SS14S1,1149,401,476,2,46,130,94,34.9,41.43,0.17,4,11.31,8.18
Hillhall 2,95SS14S2,1165,341,655,0,35,49,85,29.27,56.22,0,3,4.21,7.3
Hillsborough 1,95SS15S1,1479,344,911,1,30,70,123,23.26,61.6,0.07,2.03,4.73,8.32
Hillsborough 2,95SS15S2,1624,400,1010,0,21,52,141,24.63,62.19,0,1.29,3.2,8.68
Kilwee 1,95SS16S1,1193,479,533,1,51,45,84,40.15,44.68,0.08,4.27,3.77,7.04
Kilwee 2,95SS16S2,1326,590,438,1,102,103,92,44.49,33.03,0.08,7.69,7.77,6.94
Knockmore 1,95SS17S1,2168,693,1109,0,92,132,142,31.96,51.15,0,4.24,6.09,6.55
Knockmore 2,95SS17S2,1257,445,551,4,58,111,88,35.4,43.83,0.32,4.61,8.83,7
Lagan Valley 1,95SS18S1,1101,426,415,3,64,115,78,38.69,37.69,0.27,5.81,10.45,7.08
Lagan Valley 2,95SS18S2,1359,407,566,2,57,103,224,29.95,41.65,0.15,4.19,7.58,16.48
Lambeg 1,95SS19S1,1106,378,498,0,62,89,79,34.18,45.03,0,5.61,8.05,7.14
Lambeg 2,95SS19S2,1115,426,462,0,62,84,81,38.21,41.43,0,5.56,7.53,7.26
Lisnagarvey,95SS20W1,2234,570,1322,2,49,97,194,25.51,59.18,0.09,2.19,4.34,8.68
Maghaberry 1,95SS21S1,1754,446,1108,2,41,97,60,25.43,63.17,0.11,2.34,5.53,3.42
Maghaberry 2,95SS21S2,1868,524,1152,0,34,68,90,28.05,61.67,0,1.82,3.64,4.82
Magheralave 1,95SS22S1,1206,251,796,0,34,49,76,20.81,66,0,2.82,4.06,6.3
Magheralave 2,95SS22S2,1399,354,812,2,42,57,132,25.3,58.04,0.14,3,4.07,9.44
Maze 1,95SS23S1,1738,448,1060,2,47,89,92,25.78,60.99,0.12,2.7,5.12,5.29
Maze 2,95SS23S2,1313,390,730,0,44,83,66,29.7,55.6,0,3.35,6.32,5.03
Moira 1,95SS24S1,2158,572,1263,2,68,96,157,26.51,58.53,0.09,3.15,4.45,7.28
Moira 2,95SS24S2,1808,494,1083,2,44,93,92,27.32,59.9,0.11,2.43,5.14,5.09
Old Warren,95SS25W1,1907,785,619,4,136,194,169,41.16,32.46,0.21,7.13,10.17,8.86
Poleglass 1,95SS26S1,1416,729,403,3,123,93,65,51.48,28.46,0.21,8.69,6.57,4.59
Poleglass 2,95SS26S2,1375,572,605,0,87,53,58,41.6,44,0,6.33,3.85,4.22
Seymour Hill,95SS27W1,2106,732,897,2,88,182,205,34.76,42.59,0.09,4.18,8.64,9.73
Tonagh,95SS28W1,2068,799,806,2,102,150,209,38.64,38.97,0.1,4.93,7.25,10.11
Twinbrook 1,95SS29S1,919,444,277,0,78,62,58,48.31,30.14,0,8.49,6.75,6.31
Twinbrook 2,95SS29S2,1037,466,288,1,100,81,101,44.94,27.77,0.1,9.64,7.81,9.74
Wallace Park 1,95SS30S1,994,515,332,0,38,43,66,51.81,33.4,0,3.82,4.33,6.64
Wallace Park 2,95SS30S2,1837,379,1196,0,36,72,154,20.63,65.11,0,1.96,3.92,8.38
Ballymaguigan,95TT01W1,2064,724,1118,2,53,41,126,35.08,54.17,0.1,2.57,1.99,6.1
Bellaghy,95TT02W1,2020,715,1085,0,48,53,119,35.4,53.71,0,2.38,2.62,5.89
Castledawson 1,95TT03S1,1212,410,597,2,48,69,86,33.83,49.26,0.17,3.96,5.69,7.1
Castledawson 2,95TT03S2,1301,458,686,0,32,56,69,35.2,52.73,0,2.46,4.3,5.3
Draperstown,95TT04W1,2215,833,1131,0,75,54,122,37.61,51.06,0,3.39,2.44,5.51
Glebe 1 (Magherafelt LGD),95TT05S1,1388,499,716,0,50,52,71,35.95,51.59,0,3.6,3.75,5.12
Glebe 2 (Magherafelt LGD),95TT05S2,1024,451,351,4,73,76,69,44.04,34.28,0.39,7.13,7.42,6.74
Gulladuff,95TT06W1,2048,685,1152,3,44,46,118,33.45,56.25,0.15,2.15,2.25,5.76
Knockcloghrim,95TT07W1,2141,701,1218,0,43,52,127,32.74,56.89,0,2.01,2.43,5.93
Lecumpher,95TT08W1,2130,749,1177,4,35,51,114,35.16,55.26,0.19,1.64,2.39,5.35
Lower Glenshane 1,95TT09S1,1128,411,608,0,19,15,75,36.44,53.9,0,1.68,1.33,6.65
Lower Glenshane 2,95TT09S2,1136,417,629,1,15,16,58,36.71,55.37,0.09,1.32,1.41,5.11
Maghera,95TT10W1,2234,903,994,0,101,113,123,40.42,44.49,0,4.52,5.06,5.51
Swatragh 1,95TT11S1,1281,452,688,0,32,26,83,35.28,53.71,0,2.5,2.03,6.48
Swatragh 2,95TT11S2,1166,412,669,0,20,10,55,35.33,57.38,0,1.72,0.86,4.72
Tobermore,95TT12W1,1996,611,1153,4,54,60,114,30.61,57.77,0.2,2.71,3.01,5.71
Town Parks East 1,95TT13S1,1186,435,598,0,36,77,40,36.68,50.42,0,3.04,6.49,3.37
Town Parks East 2,95TT13S2,1083,434,418,2,60,87,82,40.07,38.6,0.18,5.54,8.03,7.57
Town Parks West,95TT14W1,1760,600,886,0,66,94,114,34.09,50.34,0,3.75,5.34,6.48
Upperlands,95TT15W1,1858,573,1054,2,51,60,118,30.84,56.73,0.11,2.74,3.23,6.35
Valley,95TT16W1,2090,738,1122,2,43,58,127,35.31,53.68,0.1,2.06,2.78,6.08
Dalriada,95UU06W1,1180,401,604,0,45,59,71,33.98,51.19,0,3.81,5,6.02
Glenariff,95UU09W1,1282,423,686,4,56,46,67,33,53.51,0.31,4.37,3.59,5.23
Knocklayd,95UU14W1,1357,525,568,0,73,113,78,38.69,41.86,0,5.38,8.33,5.75
Armoy and Moss-Side and Moyarget,95UU99C1,1609,562,826,2,56,70,93,34.93,51.34,0.12,3.48,4.35,5.78
Ballylough and Bushmills,95UU99C2,1415,448,694,0,58,92,123,31.66,49.05,0,4.1,6.5,8.69
Bonamargy and Rathlin and Glenshesk,95UU99C3,1579,558,770,0,41,67,143,35.34,48.77,0,2.6,4.24,9.06
Carnmoon and Dunseverick,95UU99C4,1441,442,793,2,46,55,103,30.67,55.03,0.14,3.19,3.82,7.15
Glenaan and Glendun,95UU99C5,1977,744,944,3,53,77,156,37.63,47.75,0.15,2.68,3.89,7.89
Glentaisie and Kinbane,95UU99C6,1763,653,785,0,70,116,139,37.04,44.53,0,3.97,6.58,7.88
Annalong 1,95VV01S1,1293,429,720,0,35,34,75,33.18,55.68,0,2.71,2.63,5.8
Annalong 2,95VV01S2,1226,387,646,0,45,53,95,31.57,52.69,0,3.67,4.32,7.75
Ballybot,95VV02W1,1763,730,600,2,104,151,176,41.41,34.03,0.11,5.9,8.56,9.98
Bessbrook,95VV03W1,1990,763,831,2,81,143,170,38.34,41.76,0.1,4.07,7.19,8.54
Binnian,95VV04W1,2369,761,1375,0,46,68,119,32.12,58.04,0,1.94,2.87,5.02
Burren and Kilbroney 1,95VV05S1,1467,543,786,0,31,43,64,37.01,53.58,0,2.11,2.93,4.36
Burren and Kilbroney 2,95VV05S2,1747,555,1066,0,24,56,46,31.77,61.02,0,1.37,3.21,2.63
Camlough,95VV06W1,2565,945,1267,1,94,102,156,36.84,49.4,0.04,3.66,3.98,6.08
Clonallan 1,95VV07S1,1629,673,633,8,79,139,97,41.31,38.86,0.49,4.85,8.53,5.95
Clonallan 2,95VV07S2,1733,590,946,0,60,72,65,34.05,54.59,0,3.46,4.15,3.75
Creggan,95VV08W1,2291,886,1073,0,101,89,142,38.67,46.84,0,4.41,3.88,6.2
Crossmaglen,95VV09W1,2097,885,856,2,112,107,135,42.2,40.82,0.1,5.34,5.1,6.44
Daisy Hill 1,95VV10S1,1185,544,439,1,66,73,62,45.91,37.05,0.08,5.57,6.16,5.23
Daisy Hill 2,95VV10S2,1234,545,435,1,71,96,86,44.17,35.25,0.08,5.75,7.78,6.97
Derryleckagh 1,95VV11S1,1558,544,816,0,46,60,92,34.92,52.37,0,2.95,3.85,5.91
Derryleckagh 2,95VV11S2,1808,655,956,2,55,74,66,36.23,52.88,0.11,3.04,4.09,3.65
Derrymore 1,95VV12S1,1231,503,531,0,43,92,62,40.86,43.14,0,3.49,7.47,5.04
Derrymore 2,95VV12S2,1182,453,520,0,59,72,78,38.32,43.99,0,4.99,6.09,6.6
Donaghmore 1,95VV13S1,1459,444,878,2,32,31,72,30.43,60.18,0.14,2.19,2.12,4.93
Donaghmore 2,95VV13S2,1096,390,615,0,26,25,40,35.58,56.11,0,2.37,2.28,3.65
Drumalane 1,95VV14S1,1515,642,632,2,67,91,81,42.38,41.72,0.13,4.42,6.01,5.35
Drumalane 2,95VV14S2,1165,436,544,0,37,55,93,37.42,46.7,0,3.18,4.72,7.98
Drumgullion 1,95VV15S1,1115,508,396,2,44,78,87,45.56,35.52,0.18,3.95,7,7.8
Drumgullion 2,95VV15S2,1321,506,648,0,48,67,52,38.3,49.05,0,3.63,5.07,3.94
Fathom,95VV16W1,2431,892,1232,2,74,93,138,36.69,50.68,0.08,3.04,3.83,5.68
Forkhill 1,95VV17S1,1613,594,809,0,56,69,85,36.83,50.15,0,3.47,4.28,5.27
Forkhill 2,95VV17S2,1553,580,784,2,73,41,73,37.35,50.48,0.13,4.7,2.64,4.7
Kilkeel Central 1,95VV18S1,1484,489,763,1,36,86,109,32.95,51.42,0.07,2.43,5.8,7.35
Kilkeel Central 2,95VV18S2,1452,569,609,2,55,76,141,39.19,41.94,0.14,3.79,5.23,9.71
Kilkeel South 1,95VV19S1,1059,344,515,1,28,40,131,32.48,48.63,0.09,2.64,3.78,12.37
Kilkeel South 2,95VV19S2,1256,480,590,4,41,79,62,38.22,46.97,0.32,3.26,6.29,4.94
Lisnacree,95VV20W1,2277,846,1226,0,41,48,116,37.15,53.84,0,1.8,2.11,5.09
Mayobridge 1,95VV21S1,1683,586,933,0,49,52,63,34.82,55.44,0,2.91,3.09,3.74
Mayobridge 2,95VV21S2,1238,381,743,1,28,24,61,30.78,60.02,0.08,2.26,1.94,4.93
Newtownhamilton,95VV22W1,2096,795,1016,1,74,75,135,37.93,48.47,0.05,3.53,3.58,6.44
Rostrevor,95VV23W1,2312,853,1073,0,110,112,164,36.89,46.41,0,4.76,4.84,7.09
Seaview 1,95VV24S1,1241,410,620,0,38,61,112,33.04,49.96,0,3.06,4.92,9.02
Seaview 2,95VV24S2,1263,465,530,1,62,90,115,36.82,41.96,0.08,4.91,7.13,9.11
Silver Bridge 1,95VV25S1,1303,459,648,0,52,59,85,35.23,49.73,0,3.99,4.53,6.52
